"pre","ACD","FOUT_avg","FOUT_max","FOUT_sum","MLOC_avg","MLOC_max","MLOC_sum","NBD_avg","NBD_max","NBD_sum","NOF_avg","NOF_max","NOF_sum","NOI","NOM_avg","NOM_max","NOM_sum","NOT","NSF_avg","NSF_max","NSF_sum","NSM_avg","NSM_max","NSM_sum","PAR_avg","PAR_max","PAR_sum","TLOC","CC_avg","CC_max","CC_sum","target"
0,0,1,1,1,7,7,7,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,2,13,3,3,3,FALSE
4,0,5.55555555555556,21,50,7.55555555555556,19,68,1.44444444444444,2,13,0,0,0,0,9,9,9,1,5,5,5,0,0,0,2.77777777777778,4,25,122,2.11111111111111,5,19,FALSE
2,0,21,30,63,30,38,90,3.66666666666667,5,11,0,0,0,0,3,3,3,1,1,1,1,0,0,0,2,4,6,120,6,7,18,FALSE
0,0,5.33333333333333,10,16,12.6666666666667,29,38,3,6,9,0,0,0,0,3,3,3,1,0,0,0,0,0,0,1,2,3,64,4.33333333333333,9,13,FALSE
4,0,7.33333333333333,18,110,12.2,29,183,2.06666666666667,4,31,0,0,0,0,15,15,15,1,0,0,0,0,0,0,2,5,30,248,3.06666666666667,10,46,FALSE
5,11,7.71428571428571,39,270,11.5142857142857,61,403,1.74285714285714,4,61,16,16,16,0,34,34,34,1,0,0,0,1,1,1,0.771428571428571,2,27,546,2.57142857142857,10,90,TRUE
1,0,0.5,1,1,5.5,10,11,1,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,0,1.5,2,3,29,1,1,2,FALSE
1,0,4,5,8,9.5,13,19,3,4,6,0,0,0,0,2,2,2,1,1,1,1,0,0,0,2.5,4,5,37,3,4,6,FALSE
1,0,0.857142857142857,4,6,3.28571428571429,13,23,1.28571428571429,3,9,1,2,2,0,3.5,4,7,1,0,0,0,0,0,0,1,2,7,54,1.42857142857143,4,10,FALSE
0,0,4.5,17,18,4.5,16,18,1,2,4,0,0,0,0,4,4,4,1,0,0,0,0,0,0,1.25,2,5,45,1.75,5,7,TRUE
0,0,1.16666666666667,6,7,3,7,18,1,1,6,2,2,2,0,6,6,6,1,0,0,0,0,0,0,0.833333333333333,2,5,36,1,1,6,TRUE
0,0,2.66666666666667,15,16,5.16666666666667,19,31,1.16666666666667,2,7,3,3,3,0,6,6,6,1,0,0,0,0,0,0,1,3,6,52,1.66666666666667,5,10,TRUE
0,0,2.33333333333333,6,7,4,6,12,1.66666666666667,3,5,1,1,1,0,3,3,3,1,0,0,0,0,0,0,1,2,3,25,1.66666666666667,3,5,TRUE
0,0,2.66666666666667,6,8,5.66666666666667,7,17,2,3,6,1,1,1,0,3,3,3,1,0,0,0,0,0,0,1,2,3,32,2,3,6,TRUE
2,2,3.22727272727273,11,71,6.5,32,143,1.40909090909091,3,31,2,8,10,0,4.4,10,22,1,1.2,6,6,0,0,0,0.909090909090909,3,20,258,1.77272727272727,6,39,FALSE
0,0,7.5,11,15,5,7,10,1,1,2,1,1,1,0,2,2,2,1,0,0,0,0,0,0,0.5,1,1,19,1,1,2,FALSE
0,0,5,8,10,7.5,11,15,1.5,2,3,2,2,2,0,2,2,2,1,0,0,0,0,0,0,1.5,3,3,33,2.5,4,5,FALSE
0,0,5.33333333333333,10,16,10.6666666666667,14,32,2,3,6,2,2,2,0,3,3,3,1,0,0,0,0,0,0,1,2,3,57,3,5,9,FALSE
0,1,4.33333333333333,13,39,5,15,45,1.22222222222222,2,11,6,6,6,0,9,9,9,1,0,0,0,0,0,0,0.888888888888889,3,8,82,1.11111111111111,2,10,FALSE
0,0,8.5,14,17,5.5,9,11,1,1,2,1,1,1,0,2,2,2,1,0,0,0,0,0,0,0.5,1,1,21,1,1,2,FALSE
0,3,4.53846153846154,12,118,6.84615384615385,24,178,1.42307692307692,4,37,7,7,7,0,26,26,26,1,0,0,0,0,0,0,0.5,3,13,266,2.07692307692308,6,54,FALSE
1,2,5,18,95,8,29,152,1.63157894736842,4,31,8,8,8,0,19,19,19,1,1,1,1,0,0,0,0.736842105263158,4,14,227,2.68421052631579,8,51,TRUE
0,0,4.54545454545455,14,50,7.09090909090909,25,78,1.63636363636364,4,18,2,2,2,0,11,11,11,1,0,0,0,0,0,0,0.818181818181818,2,9,131,3.09090909090909,9,34,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,16,16,0,0,0,0,0,0,19,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,4,0,0,0,0,0,0,7,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,5,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,6.5,7,13,5,0,0,0,FALSE
